name,director,rating,category,duration,tag,lables
轻骑兵,西蒙·温瑟,8.5,剧情/战争,131,战争/澳大利亚/一战/骑兵/澳大利亚电影/1987/经典/电影,460
自由飞奔,谢尔盖·波德罗夫,7.8,剧情/家庭/历史/战争/冒险,81,马/自由/励志/美国/美国电影/动物/沙漠/经典,294
家有恶夫,大卫·扎克/杰瑞·扎克/吉姆·艾布拉姆斯,7.3,喜剧/犯罪,93,喜剧/美国/犯罪/美国电影/黑色幽默/1986/1980s/警匪,1851
朋友,郭暻泽,7.8,剧情/动作/犯罪,113,韩国/黑帮/青春/朋友/友情/犯罪/剧情/2001,2294
黑店狂想曲,马克·卡罗/让-皮埃尔·热内,8.0,喜剧/奇幻,99,法国/黑色幽默/让-皮埃尔·热内/法国电影/喜剧/黑色/Jean-PierreJeunet/1991,616
金钱陷阱,理查德·本杰明,7.5,喜剧/音乐,91,喜剧/美国/汤姆·汉克斯/TomHanks/美国电影/搞笑/生活/1986,1851
恶魔虚像,巴兹尔·迪尔登,7.2,剧情/悬疑/惊悚/恐怖/奇幻,89,英国/英国电影/惊悚/Basil_Dearden/悬疑/cult/Roger_Moore/电影,1620
枪王,罗志良,8.1,动作/惊悚/犯罪,96,香港/犯罪/动作/心理/警匪/2000/经典/人性,2444
小绅士,罗德尼·吉本斯,8.1,剧情,95,儿童/加拿大/成长/孩子/加拿大电影/人性/剧情/电影,1981
开心鬼撞鬼,杜琪峰,7.2,喜剧/奇幻,89,喜剧/香港/香港电影/黄百鸣/张曼玉/杜琪峰/1986/开心鬼撞鬼,612
破茧威龙,无,7.2,剧情/动作/悬疑/惊悚/犯罪,98,动作/美国电影/美国/史泰龙/丹泽尔·华盛顿/犯罪/人都是逼出来的/1989,1873
七海游侠柯尔多：西伯利亚劫金记,无,7.3,剧情/爱情/动画/战争/冒险,0,动画/法国/法国动画/欧美动画/动画片/法国电影/意大利/电影,529
皇牌杂差,克洛德·齐迪,7.7,喜剧/犯罪,107,喜剧/法国/法国电影/法國/犯罪/搞笑/1984/1980s,760
钢琴教师,迈克尔·哈内克,7.4,剧情/爱情/惊悚,131,法国/情色/伦理/钢琴教师/法国电影/奥地利/心理/2001,1291
极限特工,罗伯·科恩,7.3,动作/犯罪/冒险,124,动作/美国/特工/VinDiesel/美国电影/动作片/2002/犯罪,440
真相拼图,无,7.6,剧情/犯罪,97,美国/同志/纪录片/同性/2002/LGBT/美国电影/同性恋,1600
丽莎,皮埃尔·格里姆布拉特,7.5,剧情/爱情/战争,109,法国/MarionCotillard/法国电影/爱情/战争/马丽昂·歌迪亚/二战/电影,3
红颜血泪,玛莎·库利奇,7.3,剧情/传记,120,传记/美国/女性/HalleBerry/美国电影/歌舞/红颜血泪/电影,109
宝莱坞生死恋,桑杰·里拉·彭萨里,8.3,剧情/爱情/歌舞,182,印度/爱情/印度电影/歌舞/宝莱坞生死恋/宝莱坞/歌舞片/2002,2097
义胆骑士,菲利普·德·布罗卡,7.5,剧情/冒险,128,法国/法国电影/爱情/意大利/古装/1997/VincentPerez/动作,1166
两亩地,比麦尔·洛伊,8.2,剧情,131,印度/印度电影/土地/老电影/穷人/歌舞/1954/1950s,825
极地特快,罗伯特·泽米吉斯,7.6,动画/家庭/奇幻/冒险,100,动画/美国/圣诞/美国电影/TomHanks/极地特快/动画片/汤姆·汉克斯,1476
恋战冲绳,陈嘉上,7.3,剧情/爱情,99,张国荣/王菲/香港/香港电影/爱情/梁家辉/陈嘉上/恋战冲绳,672
我聘请了职业杀手,阿基·考里斯马基,7.6,剧情/喜剧,79,芬兰/阿基·考里斯马基/1990/喜剧/芬兰电影/Aki_Kaurism?ki/1990s/AkiKaurismaki,575
孔雀公主,苏菲/邢榕/朱今明,7.4,爱情/歌舞/古装,114,中国电影/爱情/老电影/中国/唐国强/国产老片/孔雀公主/大陆,751
熊猫历险记,光源,7.9,剧情,90,中国电影/儿童/童年回忆/中国/童年/熊猫/大陆/熊猫历险记,1311
二十四只眼睛,木下惠介,8.6,剧情,156,日本/木下惠介/日本电影/高峰秀子/战争/1950s/黑白/经典,1694
血色清晨,李少红,8.0,剧情/犯罪,94,中国/大陆/犯罪/人性/1992/剧情/中国大陆/悬疑,1514
旧爱新欢一家亲,米拉·奈尔,7.4,剧情/喜剧/爱情,113,古巴移民/美国/爱情/喜剧/印度/MiraNair/1995/家庭,2493
莫莉的世界,约翰·杜根,7.3,剧情/喜剧/爱情,102,美国电影/美国/亲情/电影/温情/剧情/1999/智障,579
银翼情人,无,7.5,剧情/爱情/战争,120,RussellCrowe/爱情/战争/加拿大/罗素克劳/浪漫/二战/Russell_Crowe,1832
烈日长虹,扬·斯维拉克,7.5,剧情/动作/爱情/战争,112,捷克/二战/战争/空战/爱情/捷克电影/2001/欧洲,2487
我是山姆,杰茜·尼尔森,8.9,剧情/家庭,132,亲情/温情/美国/感人/家庭/成长/人性/剧情,1568
我要求审判,马丁·里特,8.2,剧情/惊悚,116,美国/法律/剧情/美国电影/BarbraStreisand/巴巴拉·史翠珊/1987/MartinRitt,461
石中剑,伍夫根雷德门 (Wolfgang Reitherman),7.9,动画/家庭/荒诞,80,动画/美国/Disney/迪斯尼/迪士尼/石中剑/经典/美国动画,685
贾方复仇记,塔德·斯通斯,7.3,爱情/动画/歌舞/家庭/奇幻,69,动画/迪斯尼/美国/DISNEY/1994/动画片/美国动画/迪士尼,730
纽奥良之声,无,8.3,爱情/音乐,90,音乐/LouisArmstrong/美国/Jazz/美国电影/经典/爱情/orleans,1251
青春之门,浦山桐郎,7.2,剧情,188,日本/日本电影/吉永小百合/浦山桐郎/仲代达矢/1970s/大竹忍/青春,894
报仇,张彻,7.8,剧情/动作/爱情,98,张彻/邵氏/姜大卫/香港/狄龙/香港电影/武侠/1970,796
杀人鲸,迈克尔·安德森,7.5,剧情/惊悚/恐怖,92,惊悚/美国/动物/鲸鱼/自然/人性/剧情/1970s,431
新基督山伯爵,凯文·雷诺兹,7.2,剧情,131,名著改编/美国/剧情/名著/经典/英国/2002/美国电影,575
青春之梦今何在,小津安二郎,7.2,剧情,92,小津安二郎/日本/默片/日本电影/1930s/田中绢代/1932/黑白,579
战栗空间,大卫·芬奇,7.2,惊悚,112,惊悚/大卫·芬奇/美国/悬疑/犯罪/DavidFincher/JodieFoster/美国电影,1759
人生,泰德·戴米,8.1,剧情/喜剧/犯罪,108,喜剧/美国/人生/美国电影/艾迪墨菲/1999/MartinLawrence/犯罪,2171
五月八月,杜国威,7.8,剧情/家庭/战争,88,战争/抗日/中国电影/香港/五月八月/叶童/中国/剧情,1636
推手,李安,8.4,剧情/家庭,105,李安/家庭/台湾/台湾电影/郎雄/剧情/推手/亲情,1787
鹿鼎记2：神龙教,王晶,7.8,喜剧/动作/武侠/古装,102,周星驰/喜剧/香港/香港电影/林青霞/搞笑/王晶/电影,796
心灵投手,约翰·李·汉考克,7.8,剧情/运动,127,励志/美国/棒球/体育/美国电影/心灵投手/2002/剧情,485
